timestamp,isrc,station_id,duration_seconds,listener_count
2026-08-17T08:03:00,USMET7600001,ROCK-FM-101,528,15420
2026-08-17T08:15:00,GBMET7600002,ROCK-FM-101,482,18790
2026-08-17T08:24:00,GBMET7600003,CLASSIC-ROCK-88,347,9310
2026-08-17T09:02:00,USMET8600004,METAL-NATION,515,22040
2026-08-17T09:12:00,GBMET8000005,METAL-NATION,254,17650
2026-08-17T09:20:00,AUMET8000006,ROCK-FM-101,255,26310
2026-08-17T10:05:00,GBMET8000007,METAL-NATION,158,12980
2026-08-17T10:10:00,USMET8700008,CLASSIC-ROCK-88,356,31200
2026-08-17T10:20:00,GBMET7500009,CLASSIC-ROCK-88,355,45870
2026-08-17T10:30:00,GBMET8000010,METAL-NATION,170,19860
